epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,342.44,1.65527,1.2229,1.57704,0.64003,0.50805,0.55955,0.19843,2.29415,1.57971,2.16817,0.00173765,0.00173765,0.00173765
55,348.92,1.67057,1.23876,1.56545,0.56372,0.51921,0.50821,0.19281,2.24365,1.56896,2.07032,0.0017327,0.0017327,0.0017327
56,355.34,1.64767,1.24516,1.56485,0.60416,0.50682,0.5207,0.19781,2.23043,1.50956,2.08617,0.00172775,0.00172775,0.00172775
57,361.585,1.6433,1.17088,1.54802,0.57366,0.54771,0.51701,0.1839,2.25735,1.5347,2.09787,0.0017228,0.0017228,0.0017228
58,368.047,1.61713,1.18678,1.55369,0.60885,0.48699,0.50531,0.17586,2.36094,1.56861,2.17607,0.00171785,0.00171785,0.00171785
59,374.417,1.58913,1.20786,1.52644,0.60009,0.52045,0.51528,0.19304,2.20538,1.60926,2.07588,0.0017129,0.0017129,0.0017129
60,380.923,1.6201,1.17184,1.50784,0.5457,0.54925,0.52645,0.20256,2.22686,1.52291,2.08067,0.00170795,0.00170795,0.00170795
61,387.139,1.62189,1.14934,1.5322,0.52378,0.48947,0.46865,0.15813,2.2919,1.65303,2.12577,0.001703,0.001703,0.001703
62,393.583,1.5937,1.13563,1.52494,0.60677,0.53532,0.55152,0.21068,2.21714,1.48407,2.08853,0.00169805,0.00169805,0.00169805
63,400.263,1.60442,1.17202,1.55671,0.60433,0.50062,0.51125,0.19251,2.19739,1.60045,2.12482,0.0016931,0.0016931,0.0016931
64,406.546,1.58364,1.1765,1.53453,0.54762,0.52788,0.49091,0.18371,2.22222,1.65048,2.12098,0.00168815,0.00168815,0.00168815
65,413.053,1.61035,1.14025,1.54903,0.58617,0.49442,0.49338,0.18325,2.26883,1.5648,2.09545,0.0016832,0.0016832,0.0016832
66,419.272,1.56839,1.11881,1.50349,0.5514,0.50558,0.51481,0.19732,2.1938,1.50464,2.05462,0.00167825,0.00167825,0.00167825
