epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,707.641,1.53369,1.04578,1.49997,0.53523,0.5337,0.50275,0.17707,2.28015,1.52881,2.15549,0.00164855,0.00164855,0.00164855
73,714.911,1.49463,1.03191,1.46982,0.52373,0.50062,0.44599,0.14633,2.30144,1.54078,2.1936,0.0016436,0.0016436,0.0016436
74,722.028,1.48428,1.02055,1.46158,0.55974,0.55514,0.5032,0.18267,2.26765,1.45799,2.12368,0.00163865,0.00163865,0.00163865
75,729.082,1.50836,1.0156,1.45976,0.58896,0.51549,0.50489,0.18171,2.3062,1.53803,2.19448,0.0016337,0.0016337,0.0016337
76,736.128,1.47873,1.02297,1.45674,0.62959,0.49707,0.52255,0.19984,2.2275,1.4634,2.0998,0.00162875,0.00162875,0.00162875
77,743.478,1.51243,1.02234,1.45615,0.61322,0.53831,0.55372,0.20016,2.26921,1.37703,2.15724,0.0016238,0.0016238,0.0016238
78,759.088,1.49848,1.02049,1.43273,0.6069,0.53656,0.54153,0.19698,2.30362,1.49915,2.179,0.00161885,0.00161885,0.00161885
79,780.625,1.47775,0.97572,1.4498,0.56791,0.54151,0.52976,0.18856,2.36662,1.49366,2.22615,0.0016139,0.0016139,0.0016139
80,787.669,1.43458,0.98865,1.43667,0.57658,0.52045,0.48934,0.17984,2.32476,1.46966,2.22854,0.00160895,0.00160895,0.00160895
81,804.646,1.47578,0.98448,1.43669,0.5541,0.51673,0.49059,0.16717,2.35979,1.44626,2.25346,0.001604,0.001604,0.001604
82,829.695,1.45632,0.97287,1.43105,0.57522,0.53532,0.49839,0.16594,2.37621,1.47,2.24214,0.00159905,0.00159905,0.00159905
83,836.784,1.45469,0.957,1.42176,0.5891,0.55886,0.53764,0.20164,2.23716,1.44631,2.13295,0.0015941,0.0015941,0.0015941
84,859.634,1.44566,0.93514,1.39787,0.6029,0.53903,0.53814,0.19981,2.27573,1.42207,2.15995,0.00158915,0.00158915,0.00158915
85,876.912,1.45121,0.95132,1.42488,0.4988,0.53903,0.47073,0.16339,2.32537,1.48084,2.24358,0.0015842,0.0015842,0.0015842
86,888.519,1.45449,0.95901,1.41475,0.59702,0.58488,0.56664,0.20492,2.29139,1.44931,2.19818,0.00157925,0.00157925,0.00157925
87,895.929,1.40944,0.94201,1.39989,0.61044,0.54027,0.52724,0.19778,2.33414,1.45101,2.21097,0.0015743,0.0015743,0.0015743
88,910.835,1.40792,0.90451,1.37678,0.59975,0.52045,0.50739,0.18516,2.32826,1.47309,2.22138,0.00156935,0.00156935,0.00156935
89,917.894,1.40062,0.90651,1.38405,0.58101,0.53441,0.50949,0.18746,2.34647,1.51617,2.21187,0.0015644,0.0015644,0.0015644
90,924.957,1.36142,0.89426,1.37234,0.57838,0.56877,0.53473,0.20595,2.24267,1.45245,2.18051,0.00155945,0.00155945,0.00155945
91,932.034,1.37024,0.91097,1.37369,0.58409,0.54399,0.52114,0.19811,2.26903,1.39936,2.19013,0.0015545,0.0015545,0.0015545
92,939.354,1.37808,0.89849,1.36269,0.55753,0.56506,0.51516,0.1892,2.30295,1.47727,2.21788,0.00154955,0.00154955,0.00154955
93,950.398,1.40362,0.92548,1.38136,0.50744,0.5316,0.48092,0.16367,2.31799,1.50574,2.22393,0.0015446,0.0015446,0.0015446
94,972.282,1.35859,0.88103,1.36993,0.58442,0.54027,0.51757,0.18985,2.29748,1.41434,2.23237,0.00153965,0.00153965,0.00153965
95,979.284,1.33873,0.89437,1.36677,0.58555,0.53656,0.51705,0.18772,2.37075,1.47514,2.27571,0.0015347,0.0015347,0.0015347
96,986.497,1.35576,0.9037,1.37941,0.54868,0.51425,0.4845,0.17529,2.2911,1.47388,2.22996,0.00152975,0.00152975,0.00152975
97,993.779,1.34075,0.88746,1.36237,0.55777,0.53408,0.52252,0.18699,2.30191,1.42946,2.22297,0.0015248,0.0015248,0.0015248
98,1001.36,1.36383,0.89432,1.35126,0.57411,0.54151,0.51563,0.18891,2.30573,1.42267,2.18306,0.00151985,0.00151985,0.00151985
99,1008.89,1.32231,0.86189,1.34829,0.53271,0.54399,0.46104,0.16438,2.32906,1.4801,2.22295,0.0015149,0.0015149,0.0015149
100,1016.44,1.34784,0.86443,1.36271,0.57316,0.49566,0.47482,0.18106,2.32055,1.4745,2.22612,0.00150995,0.00150995,0.00150995
101,1023.53,1.31989,0.87942,1.35852,0.58093,0.51921,0.51358,0.19536,2.30935,1.44122,2.21167,0.001505,0.001505,0.001505
102,1031.19,1.29515,0.85417,1.3486,0.5983,0.54647,0.52804,0.20879,2.27313,1.43654,2.19339,0.00150005,0.00150005,0.00150005
103,1038.42,1.30444,0.85444,1.35355,0.6102,0.51797,0.51758,0.19174,2.36596,1.53136,2.26551,0.0014951,0.0014951,0.0014951
104,1045.55,1.32079,0.85086,1.35138,0.59041,0.49834,0.49773,0.19229,2.39054,1.50107,2.29747,0.00149015,0.00149015,0.00149015
105,1052.8,1.31783,0.84835,1.33286,0.59472,0.48947,0.4901,0.16815,2.4207,1.49445,2.36679,0.0014852,0.0014852,0.0014852
106,1059.93,1.28863,0.81714,1.30894,0.57648,0.5836,0.5533,0.20179,2.28598,1.39718,2.2435,0.00148025,0.00148025,0.00148025
